id,bucket,real_input_tokens,output_tokens,cost_usd,wall_time_s,score,needle_depth_tokens,needle_depth_fraction,error,raw_answer
1,512k,486836,73,0.24354910000000002,5.23,0.0,247078,0.5131041657763545,,kitchen
2,512k,473919,45,0.2370402,5.17,1.0,312914,0.7000876884938981,,bedroom
3,512k,469298,6,0.23465950000000002,6.17,0.0,459303,0.9795477631478287,,kitchen
4,512k,489757,132,0.24511580000000002,7.76,1.0,480498,0.982082337473179,,bedroom
5,512k,479195,38,0.2396656,4.91,1.0,23738,0.04965459718019302,,kitchen
6,512k,467072,56,0.2336365,5.53,1.0,318353,0.7413484538397106,,bathroom
7,512k,486263,84,0.2432824,6.38,1.0,231985,0.4770020311708495,,hallway
8,512k,488192,42,0.24417129999999998,6.29,1.0,203438,0.4178922875755026,,garden
9,512k,497197,6,0.24860900000000002,5.49,0.0,293247,0.5909053618403647,,bedroom
10,512k,480600,48,0.2403861,5.02,1.0,48928,0.09858616313719018,,bathroom
11,768k,766814,6,0.3834175,8.1,1.0,439780,0.5715295987726033,,kitchen
12,768k,766266,67,0.3832533,7.59,1.0,338941,0.4449495958805671,,garden
13,768k,766569,283,0.3837936,9.95,0.0,659481,0.860063076560163,,London
14,768k,767462,77,0.3838693,8.11,1.0,764670,0.9974365143181058,,bedroom
15,768k,765921,49,0.3830484,9.42,0.0,552308,0.7114820395414866,,kitchen
16,768k,766815,50,0.38349720000000004,8.3,0.0,537862,0.7018958773329075,,hallway
17,768k,766712,6,0.3833665,12.07,1.0,424689,0.5488711884117722,OpenAI API error (502): 502 status code (no body),hallway
18,768k,767697,92,0.3840138,9.31,0.0,551191,0.7212565339003429,,office
19,768k,767574,6,0.3837975,7.8,0.0,747357,0.9745455066674948,,bathroom
20,768k,767605,458,0.3846266,12.51,0.0,617424,0.8022032367811233,,Fairy Knowe
