benchmark,task,bucket,id,real_input_tokens,output_tokens,cost_usd,wall_time_s,raw_answer,target,score,needle_depth_tokens,error
babilong,qa1,32k,1,30553,6,0.0076453,1.27,bedroom,,1.0,,
babilong,qa1,32k,2,32177,6,0.0080513,1.22,kitchen,,0.0,,
babilong,qa1,32k,3,30434,6,0.00761555,1.68,bathroom,,1.0,,
babilong,qa1,32k,4,31597,37,0.0079435,2.28,kitchen,,1.0,,
babilong,qa1,32k,5,31340,80,0.00793085,2.6,bedroom,,1.0,,
babilong,qa1,32k,6,30647,74,0.0077504,2.04,office,,1.0,,
babilong,qa1,32k,7,31742,6,0.007942550000000001,1.85,bathroom,,1.0,,
babilong,qa1,32k,8,31052,67,0.00784325,2.77,bedroom,,1.0,,
babilong,qa1,32k,9,31822,97,0.00807175,2.67,office,,1.0,,
babilong,qa1,32k,10,31426,28,0.00788995,3.62,garden,,1.0,,
babilong,qa1,32k,11,31703,41,0.007974799999999999,2.35,kitchen,,1.0,,
babilong,qa1,32k,12,29069,5,0.0072731,1.32,office,,0.0,,
babilong,qa1,32k,13,31659,6,0.0079218,1.2,hallway,,1.0,,
babilong,qa1,32k,14,31698,5,0.007930350000000001,1.34,garden,,1.0,,
babilong,qa1,32k,15,31422,6,0.007862550000000001,1.21,hallway,,1.0,,
babilong,qa1,32k,16,29808,6,0.00745905,1.21,bathroom,,1.0,,
babilong,qa1,32k,17,27671,5,0.0069236,1.52,garden,,1.0,,
babilong,qa1,32k,18,31574,6,0.007900550000000001,1.39,bedroom,,0.0,,
babilong,qa1,32k,19,29600,6,0.007407049999999999,1.26,bathroom,,1.0,,
babilong,qa1,32k,20,23977,31,0.0060313,2.7,bathroom,,1.0,,
babilong,qa1,128k,21,124122,6,0.031037549999999997,1.6,bedroom,,1.0,,
babilong,qa1,128k,22,120125,5,0.0300371,1.68,office,,0.0,,
babilong,qa1,128k,23,123051,6,0.0307698,1.94,bathroom,,1.0,,
babilong,qa1,128k,24,123336,38,0.03087945,1.89,kitchen,,1.0,,
babilong,qa1,128k,25,126541,103,0.0317587,4.26,bedroom,,1.0,,
babilong,qa1,128k,26,123109,163,0.0309727,3.25,kitchen,,0.0,,
babilong,qa1,128k,27,123492,123,0.03102045,2.9,bathroom,,1.0,,
babilong,qa1,128k,28,124219,6,0.031061799999999997,1.56,bathroom,,0.0,,
babilong,qa1,128k,29,124715,69,0.0312614,3.04,office,,1.0,,
babilong,qa1,128k,30,117519,5,0.029385599999999998,1.77,garden,,1.0,,
babilong,qa1,128k,31,122868,46,0.030772050000000002,2.02,kitchen,,1.0,,
babilong,qa1,128k,32,123628,76,0.03099805,2.78,bathroom,,1.0,,
babilong,qa1,128k,33,125852,6,0.03147005,2.31,hallway,,1.0,,
babilong,qa1,128k,34,110139,6,0.027541799999999998,2.0,hallway,,0.0,,
babilong,qa1,128k,35,121384,6,0.03035305,1.64,hallway,,1.0,,
babilong,qa1,128k,36,123597,49,0.0309579,2.47,bathroom,,1.0,,
babilong,qa1,128k,37,124106,41,0.03107555,4.3,garden,,1.0,,
babilong,qa1,128k,38,122903,38,0.0307712,2.06,garden,,0.0,,
babilong,qa1,128k,39,123279,74,0.0309084,2.58,bathroom,,1.0,,
babilong,qa1,128k,40,123046,38,0.03080695,2.24,bathroom,,1.0,,
babilong,qa1,256k,41,246894,32,0.06176175,2.79,bedroom,,1.0,,
babilong,qa1,256k,42,245047,335,0.061663600000000006,5.96,bathroom,,0.0,,
babilong,qa1,256k,43,242853,38,0.060758700000000006,3.13,office,,0.0,,
babilong,qa1,256k,44,233095,229,0.0585484,5.18,kitchen,,1.0,,
babilong,qa1,256k,45,248247,91,0.0621708,4.27,hallway,,0.0,,
babilong,qa1,256k,46,244461,158,0.061304700000000004,5.75,office,,1.0,,
babilong,qa1,256k,47,231181,54,0.0578599,2.92,bathroom,,1.0,,
babilong,qa1,256k,48,247745,164,0.0621329,4.13,bathroom,,0.0,,
babilong,qa1,256k,49,242102,6,0.060532550000000004,2.37,hallway,,0.0,,
babilong,qa1,256k,50,246956,95,0.06185285,3.49,garden,,1.0,,
babilong,qa1,256k,51,230015,6,0.0575108,2.04,kitchen,,1.0,,
babilong,qa1,256k,52,237502,6,0.05938255,2.62,bathroom,,1.0,,
babilong,qa1,256k,53,240799,124,0.0603484,3.84,hallway,,1.0,,
babilong,qa1,256k,54,230059,76,0.057605800000000006,4.17,hallway,,0.0,,
babilong,qa1,256k,55,240247,88,0.060167200000000004,4.15,bedroom,,0.0,,
babilong,qa1,256k,56,235801,48,0.0590077,2.84,bathroom,,1.0,,
babilong,qa1,256k,57,246732,5,0.06168885,2.45,garden,,1.0,,
babilong,qa1,256k,58,246540,50,0.06169485,3.14,office,,1.0,,
babilong,qa1,256k,59,244613,6,0.0611603,2.21,bathroom,,1.0,,
babilong,qa1,256k,60,246719,6,0.0616868,2.17,bathroom,,1.0,,
babilong,qa1,512k,1,486836,73,0.24354910000000002,5.23,kitchen,,0.0,,
babilong,qa1,512k,2,473919,45,0.2370402,5.17,bedroom,,1.0,,
babilong,qa1,512k,3,469298,6,0.23465950000000002,6.17,kitchen,,0.0,,
babilong,qa1,512k,4,489757,132,0.24511580000000002,7.76,bedroom,,1.0,,
babilong,qa1,512k,5,479195,38,0.2396656,4.91,kitchen,,1.0,,
babilong,qa1,512k,6,467072,56,0.2336365,5.53,bathroom,,1.0,,
babilong,qa1,512k,7,486263,84,0.2432824,6.38,hallway,,1.0,,
babilong,qa1,512k,8,488192,42,0.24417129999999998,6.29,garden,,1.0,,
babilong,qa1,512k,9,497197,6,0.24860900000000002,5.49,bedroom,,0.0,,
babilong,qa1,512k,10,480600,48,0.2403861,5.02,bathroom,,1.0,,
babilong,qa1,768k,11,766814,6,0.3834175,8.1,kitchen,,1.0,,
babilong,qa1,768k,12,766266,67,0.3832533,7.59,garden,,1.0,,
babilong,qa1,768k,13,766569,283,0.3837936,9.95,London,,0.0,,
babilong,qa1,768k,14,767462,77,0.3838693,8.11,bedroom,,1.0,,
babilong,qa1,768k,15,765921,49,0.3830484,9.42,kitchen,,0.0,,
babilong,qa1,768k,16,766815,50,0.38349720000000004,8.3,hallway,,0.0,,
babilong,qa1,768k,17,766712,6,0.3833665,12.07,hallway,,1.0,,OpenAI API error (502): 502 status code (no body)
babilong,qa1,768k,18,767697,92,0.3840138,9.31,office,,0.0,,
babilong,qa1,768k,19,767574,6,0.3837975,7.8,bathroom,,0.0,,
babilong,qa1,768k,20,767605,458,0.3846266,12.51,Fairy Knowe,,0.0,,
