bucket,id,condition,n_chunks,correct,raw_answer,target,total_tokens,peak_context_tokens,cost_usd,part_a_correct,part_a_real_input_tokens,part_a_cost_usd
256k,41,isolate,3,False,NOT FOUND,bedroom,248432,83342,0.062115,True,246894,0.06176175
256k,41,summary,3,False,NOT FOUND,bedroom,249946,83356,0.063345,True,246894,0.06176175
256k,42,isolate,3,False,New York,garden,246971,82466,0.062077,False,245047,0.061663600000000006
256k,42,summary,3,False,NOT FOUND,garden,247995,82480,0.062836,False,245047,0.061663600000000006
256k,43,isolate,3,True,bathroom,bathroom,244422,81669,0.061136,False,242853,0.060758700000000006
256k,43,summary,3,False,NOT FOUND,bathroom,245719,81683,0.0622,False,242853,0.060758700000000006
256k,44,isolate,3,False,Cathedral,kitchen,235293,78431,0.059382,True,233095,0.0585484
256k,44,summary,3,False,NOT FOUND,kitchen,236304,78445,0.060131,True,233095,0.0585484
256k,45,isolate,3,True,bedroom,bedroom,249958,83621,0.062651,False,248247,0.0621708
256k,45,summary,3,False,NOT FOUND,bedroom,251333,83635,0.063751,False,248247,0.0621708
256k,46,isolate,3,True,office,office,246187,82045,0.061718,True,244461,0.061304700000000004
256k,46,summary,3,False,NOT FOUND,office,247548,82059,0.062756,True,244461,0.061304700000000004
256k,47,isolate,3,True,bathroom,bathroom,232861,78232,0.058346,True,231181,0.0578599
256k,47,summary,3,False,drawing room,bathroom,234538,78246,0.059867,True,231181,0.0578599
256k,48,isolate,3,False,bathroom,bedroom,249407,83012,0.06245,False,247745,0.0621329
256k,48,summary,3,False,NOT FOUND,bedroom,250838,83026,0.06363,False,247745,0.0621329
256k,49,isolate,3,True,office,office,243746,81850,0.061034,False,242102,0.060532550000000004
256k,49,summary,3,True,office,office,245013,81864,0.062052,False,242102,0.060532550000000004
256k,50,isolate,3,False,St. Nicholas Hotel,garden,248776,83251,0.062416,True,246956,0.06185285
256k,50,summary,3,False,cellar,garden,250066,83265,0.063518,True,246956,0.06185285
256k,51,isolate,3,True,kitchen,kitchen,231574,77988,0.057918,True,230015,0.0575108
256k,51,summary,3,True,kitchen,kitchen,233039,78002,0.059116,True,230015,0.0575108
256k,52,isolate,3,True,bathroom,bathroom,239236,79862,0.059981,True,237502,0.05938255
256k,52,summary,3,False,NOT FOUND,bathroom,240435,79876,0.060947,True,237502,0.05938255
256k,53,isolate,3,False,NOT FOUND,hallway,242478,81209,0.060738,True,240799,0.0603484
256k,53,summary,3,False,NOT FOUND,hallway,243809,81223,0.061808,True,240799,0.0603484
256k,54,isolate,3,True,garden,garden,231657,77988,0.057972,False,230059,0.057605800000000006
256k,54,summary,3,True,garden,garden,232905,78002,0.058951,False,230059,0.057605800000000006
256k,55,isolate,3,False,bedroom,hallway,242074,80916,0.060792,False,240247,0.060167200000000004
256k,55,summary,3,False,NOT FOUND,hallway,243291,80930,0.061702,False,240247,0.060167200000000004
256k,56,isolate,3,True,bathroom,bathroom,237354,79412,0.059357,True,235801,0.0590077
256k,56,summary,3,False,NOT FOUND,bathroom,238764,79426,0.060535,True,235801,0.0590077
256k,57,isolate,3,True,garden,garden,248288,82648,0.06209,True,246732,0.06168885
256k,57,summary,3,True,garden,garden,249471,82662,0.063015,True,246732,0.06168885
256k,58,isolate,3,True,office,office,248084,82595,0.062024,True,246540,0.06169485
256k,58,summary,3,True,office,office,249291,82609,0.062972,True,246540,0.06169485
256k,59,isolate,3,False,garden,bathroom,246266,82081,0.061676,True,244613,0.0611603
256k,59,summary,3,False,NOT FOUND,bathroom,247548,82095,0.062713,True,244613,0.0611603
256k,60,isolate,3,True,bathroom,bathroom,248264,82663,0.062069,True,246719,0.0616868
256k,60,summary,3,True,bathroom,bathroom,249555,82677,0.063077,True,246719,0.0616868
512k,1,isolate,6,True,garden,garden,490273,82102,0.122857,False,486836,0.24354910000000002
512k,1,summary,6,False,bathroom,garden,492501,82116,0.124561,False,486836,0.24354910000000002
512k,2,isolate,6,True,bedroom,bedroom,477118,79979,0.119327,True,473919,0.2370402
512k,2,summary,6,True,bedroom,bedroom,479826,79993,0.121484,True,473919,0.2370402
512k,3,isolate,6,True,bathroom,bathroom,472745,80047,0.118489,False,469298,0.23465950000000002
512k,3,summary,6,False,kitchen,bathroom,475080,80061,0.120307,False,469298,0.23465950000000002
